lad_code,crime_count_ye_dec2022,population_mid2022,crime_rate_per_1000
E09000001,7263,11457,633.9355852317361
E09000002,21153,220039,96.13295824831053
E09000003,27920,390346,71.52628693518058
E09000004,15971,247754,64.46313682120169
E09000005,30480,341183,89.33622132404018
E09000006,22862,329689,69.34413947690096
E09000007,35165,217365,161.7785752076001
E09000008,34472,392610,87.80214462188941
E09000009,30151,370129,81.46078799553669
E09000010,30307,327426,92.56137264603299
E09000011,28253,291879,96.79696038426883
E09000012,31832,261632,121.66707436399217
E09000013,21073,185506,113.59740385755717
E09000014,28947,262413,110.31084588034891
E09000015,16038,261933,61.229398357595265
E09000016,19518,264675,73.74327004817229
E09000017,23947,310894,77.02625332106763
E09000018,24941,291199,85.64933258699376
E09000019,27985,219594,127.43972968296039
E09000020,21133,146392,144.35898136510193
E09000021,12360,169082,73.1006257318934
E09000022,33893,316700,107.01926113040733
E09000023,28092,299023,93.94595064593693
E09000024,13926,215121,64.73566039577726
E09000025,36768,357147,102.94920578921285
E09000026,24388,311515,78.28836492624754
E09000027,11539,195165,59.12433069454052
E09000028,35166,311492,112.89535525791995
E09000029,13481,210293,64.10579524758313
E09000030,34508,323854,106.55418799829552
E09000031,22913,276312,82.92437534381423
E09000032,24706,329358,75.0126002708299
E09000033,78266,209866,372.93320499747455
