lad_code,borough_name,respondent_count,crime_rate_per_1000,log_crime_rate,crime_quartile,crime_quartile_order,food_insecurity_rate_pct,fuel_insecurity_rate_pct,both_insecure_rate_pct,mean_imd_decile
E09000001,City of London,5,633.9355852317361,6.4535235531673045,Highest,4,40.0,60.0,40.0,7.6
E09000002,Barking and Dagenham,17,96.13295824831052,4.576080743537603,High-medium,3,58.82352941176471,41.17647058823529,41.17647058823529,2.9411764705882355
E09000003,Barnet,119,71.52628693518058,4.283949074561243,Lowest,1,47.89915966386555,42.016806722689076,35.294117647058826,6.554621848739496
E09000004,Bexley,56,64.46313682120169,4.181487187588867,Lowest,1,55.35714285714286,50.0,41.07142857142857,6.535714285714286
E09000005,Brent,97,89.33622132404018,4.503538502077379,Low-medium,2,59.79381443298969,61.855670103092784,49.48453608247423,4.061855670103093
E09000006,Bromley,82,69.34413947690096,4.253399474857929,Lowest,1,41.46341463414634,34.146341463414636,26.82926829268293,6.2073170731707314
E09000007,Camden,121,161.7785752076001,5.0923908429892295,Highest,4,51.2396694214876,47.107438016528924,38.01652892561984,5.0
E09000008,Croydon,121,87.80214462188941,4.486410800853894,Low-medium,2,52.066115702479344,51.2396694214876,40.49586776859504,4.628099173553719
E09000009,Ealing,105,81.46078799553669,4.412322883327404,Low-medium,2,44.761904761904766,50.476190476190474,35.23809523809524,5.180952380952381
E09000010,Enfield,62,92.561372646033,4.538617612899859,High-medium,3,43.54838709677419,38.70967741935484,29.03225806451613,5.161290322580645
E09000011,Greenwich,99,96.79696038426884,4.582893496642329,High-medium,3,52.52525252525253,44.44444444444444,34.34343434343434,4.393939393939394
E09000012,Hackney,102,121.66707436399216,4.809473973114799,Highest,4,51.9607843137255,50.98039215686274,37.254901960784316,2.8627450980392157
E09000013,Hammersmith and Fulham,85,113.59740385755715,4.741425150076017,Highest,4,51.76470588235295,48.23529411764706,35.294117647058826,4.741176470588235
E09000014,Haringey,119,110.31084588034892,4.712326700796616,High-medium,3,52.94117647058824,44.537815126050425,39.49579831932773,4.0588235294117645
E09000015,Harrow,53,61.22939835759527,4.130827530489963,Lowest,1,43.39622641509434,45.28301886792453,32.075471698113205,6.339622641509434
E09000016,Havering,32,73.74327004817229,4.3140591754172295,Lowest,1,65.625,53.125,46.875,5.46875
E09000017,Hillingdon,56,77.02625332106763,4.357045351098229,Low-medium,2,42.857142857142854,46.42857142857143,32.142857142857146,6.035714285714286
E09000018,Hounslow,64,85.64933258699376,4.461869313731418,Low-medium,2,54.6875,48.4375,37.5,4.90625
E09000019,Islington,136,127.4397296829604,4.855459764601848,Highest,4,47.05882352941176,45.588235294117645,35.294117647058826,3.6323529411764706
E09000020,Kensington and Chelsea,35,144.35898136510193,4.979206416393453,Highest,4,51.42857142857142,51.42857142857142,34.285714285714285,4.885714285714286
E09000021,Kingston upon Thames,50,73.1006257318934,4.305423976691399,Lowest,1,64.0,48.0,44.0,6.92
E09000022,Lambeth,142,107.01926113040732,4.682309555022923,High-medium,3,49.29577464788733,47.88732394366197,38.028169014084504,3.8098591549295775
E09000023,Lewisham,138,93.94595064593692,4.553307789123356,High-medium,3,54.347826086956516,51.449275362318836,37.68115942028986,3.7246376811594204
E09000024,Merton,86,64.73566039577726,4.185641554432283,Lowest,1,34.883720930232556,34.883720930232556,25.581395348837212,7.093023255813954
E09000025,Newham,85,102.94920578921284,4.643902373959421,High-medium,3,55.294117647058826,52.94117647058824,42.35294117647059,3.152941176470588
E09000026,Redbridge,57,78.28836492624754,4.373091395634522,Low-medium,2,40.35087719298245,50.877192982456144,35.08771929824561,6.456140350877193
E09000027,Richmond upon Thames,60,59.12433069454052,4.096414596464431,Lowest,1,33.33333333333333,33.33333333333333,25.0,8.333333333333334
E09000028,Southwark,122,112.89535525791996,4.735280090498906,Highest,4,40.98360655737705,40.16393442622951,27.86885245901639,3.8442622950819674
E09000029,Sutton,84,64.10579524758313,4.176013565952618,Lowest,1,60.71428571428571,52.38095238095239,45.23809523809524,6.642857142857143
E09000030,Tower Hamlets,172,106.55418799829552,4.677994794967642,High-medium,3,53.48837209302325,51.74418604651163,40.69767441860465,3.7848837209302326
E09000031,Waltham Forest,103,82.92437534381423,4.429916099809674,Low-medium,2,48.54368932038835,46.601941747572816,38.83495145631068,3.8932038834951457
E09000032,Wandsworth,139,75.0126002708299,4.33089911958142,Low-medium,2,42.44604316546763,43.884892086330936,33.093525179856115,5.9496402877697845
E09000033,Westminster,82,372.93320499747455,5.924077185200883,Highest,4,64.63414634146342,50.0,42.68292682926829,5.170731707317073
