variable,category,respondent_count,food_insecurity_rate_pct,fuel_insecurity_rate_pct,both_insecure_rate_pct
gender,Female,2163,48.22006472491909,46.09338881183541,35.6911696717522
gender,Male,642,53.426791277258566,49.84423676012461,39.25233644859813
gender,Non binary/ other,36,77.77777777777779,50.0,50.0
gender,Prefer not to say,45,57.77777777777777,53.333333333333336,42.22222222222222
age_group,16 to 19,40,57.49999999999999,65.0,52.5
age_group,20 to 24,222,64.41441441441441,58.55855855855856,46.3963963963964
age_group,25 to 29,406,54.92610837438424,49.75369458128079,36.206896551724135
age_group,30 to 34,489,51.32924335378323,49.693251533742334,39.263803680981596
age_group,35 to 39,546,50.366300366300365,46.336996336996336,37.72893772893773
age_group,40 to 44,365,46.57534246575342,41.917808219178085,34.24657534246575
age_group,45 to 49,266,47.744360902255636,43.233082706766915,36.09022556390977
age_group,50 to 54,211,45.497630331753555,48.34123222748815,34.59715639810427
age_group,55 to 59,135,45.925925925925924,40.0,32.592592592592595
age_group,60 to 64,108,33.33333333333333,41.66666666666667,26.851851851851855
age_group,65 to 69,59,40.67796610169492,37.28813559322034,27.11864406779661
age_group,70 to 74,26,23.076923076923077,38.46153846153847,23.076923076923077
age_group,75 to 79,11,27.27272727272727,27.27272727272727,18.181818181818183
age_group,80 or over,2,50.0,50.0,50.0
health_condition,No,2226,42.99191374663073,40.296495956873315,29.829290206648697
health_condition,Prefer not to say,148,76.35135135135135,75.0,65.54054054054053
health_condition,Yes,512,72.265625,68.5546875,58.59375
household_type,Living on my own (NO children or children have left home),522,56.32183908045977,53.25670498084292,44.44444444444444
household_type,Living on my own WITH children under 18,242,87.19008264462809,71.07438016528926,68.18181818181817
household_type,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",354,51.69491525423729,54.80225988700565,41.80790960451977
household_type,"Living with other adults that are non-family members, such as friends/ flatmates",394,55.58375634517766,50.76142131979695,34.51776649746193
household_type,Living with partner/ spouse (NO children or children have left home),633,32.069510268562404,36.808846761453395,23.538704581358612
household_type,Living with partner/ spouse/ older relative WITH children under 18,741,44.534412955465584,38.05668016194332,31.17408906882591
employment_status_group,Not specified,102,51.9607843137255,46.07843137254902,35.294117647058826
employment_status_group,Not working- long term sick or disabled,144,83.33333333333334,84.72222222222221,77.08333333333334
employment_status_group,Not working- looking after house/ children,190,55.78947368421052,51.05263157894737,45.26315789473684
employment_status_group,Retired,132,35.60606060606061,37.121212121212125,25.757575757575758
employment_status_group,Student,112,58.92857142857143,48.214285714285715,35.714285714285715
employment_status_group,Unemployed,235,82.12765957446808,73.19148936170212,66.38297872340425
employment_status_group,Working full-time,1408,39.98579545454545,39.63068181818182,27.05965909090909
employment_status_group,Working part-time,563,51.865008880994665,46.181172291296626,38.54351687388988
income_band,"Less than £14,900 p.a.",487,84.80492813141683,76.38603696098562,69.81519507186859
income_band,"More than £58,900 p.a.",670,13.432835820895523,18.507462686567163,6.865671641791045
income_band,Prefer not to say,514,50.778210116731515,44.55252918287938,35.797665369649806
income_band,"£14,901- £24,300 p.a.",376,71.54255319148936,62.76595744680851,55.58510638297872
income_band,"£24,301- £37,900 p.a.",450,55.333333333333336,53.11111111111111,40.22222222222222
income_band,"£37,901- £58,900 p.a.",389,40.616966580976865,40.87403598971722,25.96401028277635
