imd_decile,respondent_count,food_insecurity_rate_pct,fuel_insecurity_rate_pct,both_insecure_rate_pct
1,57,85.96491228070175,57.89473684210527,56.14035087719298
2,419,60.14319809069213,53.22195704057279,44.39140811455847
3,529,53.119092627599244,51.60680529300568,41.209829867674856
4,471,51.80467091295117,47.77070063694268,36.730360934182585
5,347,51.5850144092219,48.126801152737755,36.31123919308357
6,328,48.170731707317074,47.256097560975604,35.36585365853659
7,246,43.08943089430895,45.1219512195122,34.552845528455286
8,199,40.20100502512563,41.20603015075377,31.155778894472363
9,199,31.65829145728643,32.1608040201005,21.608040201005025
10,91,30.76923076923077,28.57142857142857,21.978021978021978
