Model,Class,Precision,Recall,F1,Support
Logistic Regression,High,0.8318181818181818,0.71484375,0.7689075630252101,256
Logistic Regression,Marginal,0.1566265060240964,0.2826086956521739,0.20155038759689922,46
Logistic Regression,Low,0.28846153846153844,0.28846153846153844,0.28846153846153844,52
Logistic Regression,Very Low,0.5512820512820513,0.5443037974683544,0.5477707006369427,79
Random Forest,High,0.819672131147541,0.78125,0.8,256
Random Forest,Marginal,0.22580645161290322,0.15217391304347827,0.18181818181818182,46
Random Forest,Low,0.2909090909090909,0.3076923076923077,0.29906542056074764,52
Random Forest,Very Low,0.5048543689320388,0.6582278481012658,0.5714285714285714,79
XGBoost,High,0.8622222222222222,0.7578125,0.8066528066528067,256
XGBoost,Marginal,0.21153846153846154,0.2391304347826087,0.22448979591836735,46
XGBoost,Low,0.22641509433962265,0.23076923076923078,0.22857142857142856,52
XGBoost,Very Low,0.5242718446601942,0.6835443037974683,0.5934065934065934,79
CatBoost,High,0.8430493273542601,0.734375,0.7849686847599165,256
CatBoost,Marginal,0.22058823529411764,0.32608695652173914,0.2631578947368421,46
CatBoost,Low,0.22033898305084745,0.25,0.23423423423423423,52
CatBoost,Very Low,0.5421686746987951,0.569620253164557,0.5555555555555556,79
